category,cost,is_free,is_official,latitude,location.state,longitude,event_date,repeat_times,has_image,description_words,duration,day_of_week,time,is_attractive,city
other,,True,False,40.723765,NY,-73.9939903,2017-12-01,1,True,26,30,Fri,morning,True,New York
other,,True,False,40.74154650000001,NY,-73.9889978,2017-12-01,1,True,32,22,Fri,morning,True,New York
visual-arts,,True,False,40.7493555,NY,-74.0046948,2017-12-07,1,True,29,28,Thurs,morning,True,New York
music,15.0,False,False,40.7312056,NY,-74.0016722,2017-12-09,1,True,25,15,Sat,morning,True,New York
visual-arts,,True,False,40.7365551,NY,-74.0090194,2017-12-09,1,True,20,21,Sat,afternoon,False,New York
other,,True,False,40.7209348,NY,-73.9876515,2017-12-14,2,True,24,7,Thurs,morning,True,New York
nightlife,199.0,False,False,40.7260338,NY,-73.9914735,2017-12-20,1,True,29,0,Wed,evening,False,New York
nightlife,79.0,False,False,40.740985,NY,-73.981317,2017-12-20,2,True,22,0,Wed,evening,True,New York
nightlife,89.0,False,False,40.7287959,NY,-74.00473690000003,2017-12-20,1,True,27,0,Wed,evening,False,New York
fashion,,True,False,40.7138866,NY,-74.0062626,2017-12-20,1,True,27,0,Wed,morning,False,New York
film,7.0,False,False,40.7246322,NY,-73.9900275,2017-12-20,1,True,20,0,Wed,afternoon,False,New York
food-and-drink,,True,False,40.746612,NY,-73.9880909,2017-12-20,1,True,24,0,Wed,afternoon,False,New York
food-and-drink,55.0,False,False,40.726170445082396,NY,-73.98564904723871,2017-12-20,1,True,30,0,Wed,evening,False,New York
performing-arts,10.0,False,False,40.73890460000001,NY,-73.980822,2017-12-20,1,True,25,0,Wed,evening,False,New York
performing-arts,,True,False,40.719129,NY,-73.984509,2017-12-20,1,True,25,0,Wed,evening,False,New York
lectures-books,,True,False,40.7263467,NY,-73.99113559999998,2017-12-20,1,True,30,0,Wed,evening,False,New York
food-and-drink,35.0,False,False,40.7221885,NY,-73.9946104,2017-12-20,1,True,28,0,Wed,evening,True,New York
nightlife,75.0,False,False,40.7159364,NY,-73.99678940000003,2017-12-21,1,True,25,0,Thurs,evening,False,New York
nightlife,25.0,False,False,40.7138866,NY,-74.0062626,2017-12-21,1,True,28,0,Thurs,evening,False,New York
nightlife,125.0,False,False,40.7244552,NY,-74.00805340000002,2017-12-21,1,True,28,0,Thurs,evening,False,New York
other,,True,False,40.7230666,NY,-73.99380479999998,2017-12-21,2,True,27,30,Thurs,morning,True,New York
charities,15.0,False,False,40.7191552,NY,-73.9862607,2017-12-21,1,True,29,0,Thurs,afternoon,False,New York
music,,True,False,40.7343405,NY,-73.9849615,2017-12-21,1,True,23,0,Thurs,evening,False,New York
nightlife,0.0,False,False,40.7085891,NY,-74.01362759999998,2017-12-21,1,True,28,0,Thurs,evening,False,New York
nightlife,109.0,False,False,40.7417779,NY,-74.00579499999998,2017-12-22,1,True,27,0,Fri,evening,False,New York
visual-arts,10.0,False,False,40.69867720000001,NY,-73.98594140000002,2017-12-22,1,True,28,0,Fri,afternoon,True,Brooklyn
performing-arts,,True,False,40.7293456,NY,-73.9787662,2017-12-22,1,True,27,0,Fri,evening,False,New York
performing-arts,,False,False,40.6710865,NY,-73.9852,2017-12-22,1,True,23,0,Fri,evening,True,Brooklyn
music,,False,False,40.743051,NY,-74.00587800000002,2017-12-22,1,True,7,0,Fri,evening,True,New York
food-and-drink,,True,False,40.715132087537,NJ,-74.04667189924,2017-12-22,1,True,26,0,Fri,evening,True,Jersey City
music,20.0,False,False,40.7268982612292,NY,-73.9528847539673,2017-12-22,1,True,19,0,Fri,evening,True,Brooklyn
nightlife,15.0,False,False,40.7468631,NY,-73.9823142,2017-12-22,1,True,30,0,Fri,evening,True,New York
performing-arts,9.0,False,False,40.7258626,NY,-73.994291,2017-12-22,1,True,26,0,Fri,evening,False,New York
music,10.0,False,False,40.7174797058105,NJ,-74.0438537597656,2017-12-23,1,True,21,0,Sat,evening,False,Jersey City
festivals-fairs,0.0,False,False,40.731370743568,NY,-73.98318647280401,2017-12-23,1,True,21,4,Sat,afternoon,False,New York
music,,False,False,40.7398304,NY,-73.984981,2017-12-23,1,True,7,0,Sat,evening,False,New York
performing-arts,,True,False,40.6786723207026,NY,-73.9589714418068,2017-12-23,1,True,26,0,Sat,evening,False,Brooklyn
nightlife,10.0,False,False,40.72525,NY,-73.98444920000001,2017-12-23,1,True,28,0,Sat,evening,False,New York
other,,True,False,40.7413722,NY,-73.98913329999998,2017-12-24,1,True,20,0,Sun,morning,True,New York
food-and-drink,,False,False,40.7219097,NY,-74.0039054,2017-12-24,1,True,25,7,Sun,morning,True,New York
nightlife,20.0,False,False,40.739237,NY,-74.0019412,2017-12-24,1,True,32,0,Sun,evening,False,New York
nightlife,20.0,False,False,40.743989,NY,-74.0061877,2017-12-24,1,True,30,0,Sun,evening,False,New York
food-and-drink,25.0,False,False,40.7314775,NY,-74.0024921,2017-12-25,1,True,26,0,Mon,afternoon,False,New York
food-and-drink,,False,False,40.737054,NY,-74.00390379999997,2017-12-26,1,True,25,0,Tues,afternoon,True,New York
music,,False,False,40.743051,NY,-74.00587800000002,2017-12-26,1,True,5,0,Tues,evening,False,New York
performing-arts,,True,False,40.7265315,NY,-74.0043743,2017-12-26,1,True,25,0,Tues,evening,False,New York
